TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
DATE: 07/14/2023,,,,,,,,,,,,,,,,,,,
DESIGN: ek_ra8d1,,,,,,,,,,,,,,,,,,,
TEMPLATE: J:\ACLib\ree_site\cdssetup\bom\ree_all_v1.0.bom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Qty,CATEGORY,PART_NUMBER,VALUE,DESCRIPTION,JEDEC_TYPE,Ref Des,REMARKS,MECH_KIT1,TOLERANCE,OPERATING_VOLTAGE,POWER_RATING,MANUFACTURER_PRIMARY,MANUFACTURER_PRIMARY_ORDER_CODE,DISTRIBUTOR_PRIMARY,DISTRIBUTOR_PRIMARY_ORDER_CODE,MANUFACTURER_SECONDARY,MANUFACTURER_SECONDARY_ORDER_CODE,DISTRIBUTOR_SECONDARY,DISTRIBUTOR_SECONDARY_ORDER_CODE
2,"PASSIVE,Resistor",150-10007015,0.005,Currentsenseresistor,EIA0805,"R2,R3", , ,1%, ,1W,VISHAY,WSLP08055L000FEA18,MouserElectronics,71-WSLP08055L000FEA1, , , , 
3,"PASSIVE, Resistor",150-00000106,15K,"resistor,0402,1/16Watt,E24",EIA0402,"R4,R25,R86", , ,1%,50V,0.0625W,YAGEO,RC0402FR-0715KL,Farnell, , , , , 
1,"PASSIVE, Resistor",150-00001090,464,"resistor,0402,1/16Watt,E96",EIA0402,R27, , ,1%,50V,0.0625W,YAGEO,RC0402FR-07464RL,Farnell, , , , , 
1,"PASSIVE, Resistor",150-00001156,2k61,"resistor,0402,1/16Watt,E96",EIA0402,R29, , ,1%,50V,0.0625W,YAGEO,RC0402FR-072k61L,Farnell, , , , , 
1,"PASSIVE, Resistor",150-00000055,110,"resistor,0402,1/16Watt,E24",EIA0402,R32, , ,1%,50V,0.0625W,YAGEO,RC0402FR-07110RL,Farnell, , , , , 
2,"PASSIVE, Resistor",150-00001152,2k37,"resistor,0402,1/16Watt,E96",EIA0402,"R33,R34", , ,1%,50V,0.0625W,YAGEO,RC0402FR-072k37L,Farnell, , , , , 
1,"PASSIVE, Resistor",150-00000094,4K7,"resistor,0402,1/16Watt,E24",EIA0402,R38, , ,1%,50V,0.0625W,YAGEO,RC0402FR-074K7L,Farnell, , , , , 
1,"PASSIVE, Resistor",150-00000086,2K2,"resistor,0402,1/16Watt,E24",EIA0402,R80, , ,1%,50V,0.0625W,YAGEO,RC0402FR-072K2L,Farnell, , , , , 
2,"OTHER,Switch",180-10007412,PTS645SM43SMTR92LFS,SWITCHBLUETACTILESPST-NO0.05A12V,PTS645SL43SM,"S1,S2", , , , ,?,C&K,PTS645SM43SMTR92LFS,Digi-KeyCorporation,CKN9112CT-ND, , , , 
1,"OTHER,Switch",180-10007413,PTS645SK43SMTR92LFS,SWITCHREDTACTILESPST-NO0.05A12V,PTS645SL43SK,S3, , , , ,?,C&K,PTS645SK43SMTR92LFS,Digi-KeyCorporation,CKN9084CT-ND, , , , 
1,"OTHER, Switch",180-10006865,DIP-Switch-8pol-SMD,"Dip Switch, 8way",APE_IKH_SW_DIP08_SMD,SW1, , , , ,?,APEM,IKH0803000 ,Mouser,642-IKH0803000, , , , 
8,"OTHER,Divers",179-10007402,5019,"TestPoint,Loop,Miniature,3.81mmx2.03mm,SMT",KEY_5019,"TP1,TP2,TP3,TP4,TP7,TP8,TP9,TP10", , , , ,?,Keystone,5019,Digi-KeyCorporation,36-5019CT-ND, , , , 
1,"DIGITAL, Logic",100-10007927,R7FA8D1BH2A00CBD_rev210, ,BGA_224,U1, , , , ,?,RENESAS, , , , , , , 
13,"DIGITAL,Logic",TBD,74CBTLV3244BQ,8-bitbusswitch,NXP_SOT764-1,"U10,U11,U13,U14,U16,U17,U18,U19,U20,U21,U22,U23,U24", , , ,3.3V,?,NXP,74CBTLV3244BQ-Q10X,MouserElectronics,TBD, , , , 
2,"DIGITAL,Logic",100-10007934,74CB3Q3257,Quadbusswitch,SOT763-1,"U12,U25", , , ,3.3V,?,NXP,74CB3Q3257BQX,Arrow,74CB3Q3257BQX, , , , 
1,"DIGITAL,Logic",100-10007837,ICS1894-32,Ethernet10/100PHYwithRMII,REN_QFN32-5X5-0P50,U15, , , ,3.3V,?,RenesasIDT,1894K-32LFT,Digi-KeyCorporation,800-2029-1-ND, , , , 
1,"DIGITAL,Memory",102-10007955,IS42S16320F-6BLI_x16,SDRAM512Mb,ISS_TW_BGA_54L_8X13,U27, , , ,3.3V,?,ISSI-IntegratedSiliconSolutionInc,IS42S16320F-6BLI,MouserElectronics,870-42S16320F6BLI, , , , 
1,"DIGITAL,Memory",102-10008444,S28HL512TFPBHI010,IC NOR FLASH 512MB 24BGA,CYP_BGA24_1,U3, , , ,3.3V,?,CYPRESS,S28HL512TFPBHI010,DigiKey,2832-S28HL512TFPBHI010-428-ND, , , , 
2,"ANALOGUE,VoltageControl",124-10007403,AP2151WG-7,PowerSwitch/DriverUSBENHigh500mASOT-25,DIO_SOT25,"U5,U6", , , , ,?,DiodesInc.,AP2151WG-7,Digi-KeyCorporation,AP2151WGDICT-ND, , , , 
1,"ANALOGUE,DC-DC",122-10007736,ISL9008AIECZ-T,"LowNoiseLDO,1.8Vout,LowIqHighPSRR",REN_SC70-5,U52, , , , ,?,RenesasElectronics,ISL9008AIECZ-T,MouserElectronics,968-ISL9008AIECZ-T, , , , 
1,"DIGITAL,Logic",100-10007954,R7FA4M2AD3CFL,RA4M2,REN_P-LFQFP48-7X7-0P50,U7, , , ,2.7-3.6V,?,RENESAS,R7FA4M2AD3CFL,MouserElectronics,968-R7FA4M2AD3CFLAA0, , , , 
1,"ANALOGUE,DC-DC",122-10007411,ISL80102IRAJZ,LinearVoltageRegulatorICPositiveAdjustable1Output2A10-DFN(3x3),ISL_DFN10,U8, , , , ,?,RenesasElectronics,ISL80102IRAJZ,Digi-KeyCorporation,ISL80102IRAJZ-TKCT-ND, , , , 
1,"OTHER, Crystal",170-10007251,12.000 MHz,Crystal,ECX_2236B,X2, , , , ,?,ECS_Inc,ECS-120-10-36B-CWY-TR,Mouser,520-120-10-36B-CWYT, , , , 
1,"OTHER,Crystal",170-10007572,20.000 MHz,"CERAMICSMDCRYSTAL,3.2mmx2.5mm",ABM8,Y1, , , , ,?,ABRACON,ABM8-20.000MHZ-10-B1U-T,Farnell,3228489, , , , 
1,"OTHER, Crystal",170-10004990,ABS06-32.768KHZ,"Crystal, high precision",ABR_ABS06,Y2, , , , ,?,ABRACON CORPORATION,ABS06-32.768KHZ-1-T,Farnell,2101344, , , , 
,,,,,,,,,,,,,,,,,,,
12,"PRODUCTION, Mechanical Parts",201-10007425, SPN02SYBN-RC,"Jumper 2.00mm, open top",SPN02SYBN-RC,"Link1, Link2, Link3, Link4, Link5, Link6, Link7, Link8, Link9, Link10",,,,,?,SULLIINS,SPN02SYBN-RC,Digikey,S3404-ND,,,,
